base_name	description_taxo	image_path	description_gpt4
adela	Forewing with pale yellow veins and colourless membrane, sometimes yellowish in apical part. Forewing oblong-oval, narrowly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules faint, present in all cells, leaving narrow spinule-free stripes along the veins, sparsely and irregularly spaced; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/adela.jpg	The forewing of *adela* is broad and long with a high width-to-length ratio, and it is oblong oval in shape. The entire forewing is pale brown with pale yellow veins and densely covered spinules forming a pattern in transverse rows, with broad spinule-free strips along all veins. There is no color pigmentation present along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is absent. Vein Rs is relatively straight and slightly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. The apex of vein Cu1a is strongly arced towards the posterior margin. Surface spinules are absent on the basal one-half of cell C+Sc. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane and veins are without setae.
adelpha_male	Forewing with yellow to dark brown veins and membrane with distinct pale to dark brown pattern differing in males and females. Male forewing membrane brown to dark brown consisting of large brown band occupying almost entire wing surface stretching from apical part of costal vein and covering apical part of cell r1, apical and basal part of cell r2, entire cells m1, m2 and cu1, apical part of cell cu2 and median part of cell c+sc, leaving light areas in cells r2, m1, m2 and cu1 along the margin; membrane lacking pattern, colourless to yellowish. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M longer than either of veins M1+2 and M3+4; both male and female forewing with large, very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, forming hexagons in apical part on pigmented areas, weakly developed on unpigmented areas; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/adelpha_male.jpg	The forewing of *adelpha_male* is characterized by a broad and long ovoid shape, with a pale base color and a broad brown band extending from the middle of the costa to the apex and along the termen to the tornus, interspersed with pale dots. The forewing membrane is densely covered in spinules arranged in two hexagonal rows, with broad spinule-free strips along all veins. The veins are brown, with dark brown pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is absent. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane and veins are covered with short, densely distributed setae.
adelpha_female	Forewing with yellow to dark brown veins and membrane with distinct pale to dark brown pattern differing in males and females. Female forewing membrane pale brown consisting of patches scattered over entire surface and dark frequently confluent dots occupying all cells, patch along the margin leaving almost indistinct light areas in cells r2, m1, m2 and cu1; with few distinct dark brown dots along the margin at the edges of the light areas in cells r2, m1, m2 and cu1. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M longer than either of veins M1+2 and M3+4; both male and female forewing with large, very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, forming hexagons in apical part on pigmented areas, weakly developed on unpigmented areas; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/adelpha_female.jpg	The forewing of *adelpha_female* is characterized by a broad, long oblong oval shape with a width-to-length ratio of 0.41-0.46. It is pale brown with a distinct dark brown stripe along vein CuA1 and scattered brown dots. The veins are yellowish-brown, and there is dark brown pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The forewing membrane is moderately covered with spinules forming two hexagonal rows, with broad spinule-free strips along all veins. The apical two-thirds of vein C+Sc is nearly straight, and the vein is convex at the base. There is a costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. Vein Cu1a is strongly convex along its entire length and strongly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and unevenly rounded apical margin. The forewing membrane and veins are covered by short, densely scattered setae.
adesmiae	Forewing with pale yellow to brown veins and whitish membrane with conspicuous dark brown pattern consisting of constant patch along vein Cu1b and dots scattered over entire surface, partly confluent in apical part, forming broad submarginal stripe stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin; sometimes with relatively distinct median broad stripe stretching from apical part of cell r1 to base of vein Cu1b. Forewing oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; radular spinules not pronounced. 	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/adesmiae.jpg	The forewing of *adesmiae* is characterized by a broad, oblong-oval shape with a pale brown color and distinct pale areas along the veins and in the middle of the cells. The forewing is densely covered with spinules arranged in transverse rows, with narrow spinule-free strips along all veins. The veins are pale brown, with brown pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is present, short in length, and broadest in the apical two-thirds, with a moderately to broadly convex posterior vein in the apical two-thirds. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and short, with vein Cu1a strongly convex along its entire length and strongly arced towards the posterior margin of the forewing. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane has distinct brown veins and a brownish membrane with variable distinct brownish transverse stripes and patches, with short setae dense on veins and sparse on the membrane.
adunca	Forewing with bright yellow to dark brown veins and colourless to greyish membrane with indistinct yellow to distinct brownish patch along vein Cu1b, fumose in the middle of all cells and almost transparent along the veins. Forewing oblong-oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules present in all cells, leaving broad spinule-free stripes along the veins, sparsely and irregularly spaced, sometimes spinules entirely reduced in apical half of the wing; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/adunca.jpg	The forewing of *adunca* is broad and short with an oblong oval shape. It is pale with distinct brown veins and pale brown patches along the margin. The forewing membrane is densely covered in spinules that are randomly distributed, with broad spinule-free strips along all veins. The veins are pale yellow, with brown pigmentation present along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent. Vein Rs is sinuate and slightly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and short. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the apical third and has a broadly and evenly rounded apical margin. The forewing membrane and veins are bare, without setae.
bicolorata	Forewing with pale to bright yellow veins and pale yellow to amber-coloured membrane. Forewing oval, narrowly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight, curved backwards apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules present in all cells, leaving narrow spinule-free stripes along the veins, relatively densely and irregularly spaced; absent at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/bicolorata.jpg	The forewing of *bicolorata* is broad and long with an oblong oval shape and a width-to-length ratio of about 0.4. It is pale yellow with pale yellow veins and moderately covered with spinules that form a pattern of transverse rows. Spinule-free strips are narrow along all veins. The apical two-thirds of vein C+Sc is nearly straight, and there is no convexity at the base. The pterostigma cell is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is narrow and short, while cell Cu1 is broad and short. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane is not covered with setae, but the veins have sparse, short setae.
bulbosa	Forewing with yellow veins and amber-coloured membrane. Forewing oblong-oval, narrowly, evenly rounded apically; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight apically; vein M longer than either of veins M1+2 and M3+4; surface spinules dense, present in all cells, leaving narrow spinule-free stripes along the veins, irregularly spaced, forming transverse rows; absent in basal third of cell c+sc; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/bulbosa.jpg	The forewing of *bulbosa* is broad and short, with an oblong oval shape. It features yellow veins and a yellow membrane, densely covered with spinules that are randomly distributed. Broad spinule-free strips are present along all veins. The veins are yellow, with no color pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is strongly convex, with no costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent, and vein Rs is relatively straight, abruptly turning up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. Vein Cu1a is strongly convex along its entire length, with its apex moderately arced towards the posterior margin. Surface spinules are absent on the basal one-half of cell C+Sc. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane and veins are not covered with setae.
brevigenis	Forewing with pale yellow veins and colourless membrane with indistinct brown patch along vein Cu1b and yellowish shadows in apical part of cells r1, r2, m1, m2 and cu1. Forewing oval, broadly, evenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/brevigenis.jpg	The forewing of *brevigenis* is broad and short with an oblong oval shape. It is hyaline with pale brown veins. The forewing membrane is densely covered with spinules that form a pattern in two hexagonal rows, with narrow spinule-free strips along all veins. The veins are pale yellow, with no color pigmentation present along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the apical two thirds and has a broadly and unevenly rounded apical margin. The forewing membrane and veins are without setae.
capsici	Forewing with whitish to dark brown veins and membrane with brown to dark brown pattern consisting of two broad transverse stripes: submarginal one stretching from apical part of costal vein to median part of cell cu1 leaving light areas in cells r2, m1, m2 and cu1 along the margin, and median one stretching from median part of vein C+Sc to apical part of anal vein; membrane between two bands colourless, sometimes with few dark brown dots in cells and sometimes on veins. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules large, very dense, present in all cells, leaving narrow spinule-free stripes along the veins, forming hexagons, less developed on unpigmented areas; radular spinules not pronounced. 	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/capsici.jpg	The forewing of *capsici* is broad and short with an ovoid shape, featuring a distinct color pattern with a pale brownish band from the middle of the costa to the tornus and a pale brownish area from the base of the costa to the middle of the wing, along with scattered pale brown dots in the submedian area. The membrane is densely covered with spinules in two hexagonal rows, with broad spinule-free strips along veins dm and r4+5. The veins are brown with dark brown pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is absent. The forewing is widest in the middle, with a broadly and unevenly rounded apical margin. The forewing membrane has short setae densely scattered along veins and sparsely between them.
caunda	Forewing with pale yellow to brownish veins and semitransparent, yellowish membrane with distinct brown patch along vein Cu1b and brownish shadows in apical part of cells r1, r2, m1, m2 and cu1. Forewing oval, broadly, evenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules relatively dense, present in all cells, leaving narrow spinule-free stripes along the veins, forming indistinct hexagons in apical half; absent at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/caunda.jpg	The forewing of *caunda* is broad and long with an ovoid shape, characterized by a pale yellow membrane with pale brown veins. The forewing is moderately covered with randomly distributed spinules, and narrow spinule-free strips are present along all veins. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is absent. Vein Rs is relatively straight and slightly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the apical two-thirds, and the apical margin is broadly and evenly rounded. The forewing membrane and veins are without setae.
