stage	script	lines_of_code	model_over_api	local_vlm	vision_network	backend_selectable	pip_package	outputs
Annotation (the Descriptron GUI)	descriptron-v2-v73.py	11559	no	no	yes	no	descriptron-gui	writes 2 images
Annotation (the Descriptron GUI)	sam2_pal_batch_v21.py	2497	no	no	yes	no	descriptron-vision	writes 1 figure, 15 images
Annotation (the Descriptron GUI)	dinov3_landmark_transfer_v51.py	776	no	no	yes	no	descriptron-vision	writes 5 figures, 2 JSONs
Images to measurements	texture_phenomics_from_coco.py	455	no	no	no	no	descriptron-core	writes 10 figures, 16 tables
Images to measurements	texture_phenomics_homology.py	832	no	no	no	no	descriptron-core	writes 16 figures, 10 tables, 1 image
Images to measurements	color_phenomics_homology_v2_1.py	963	no	no	no	no	descriptron-core	writes 16 figures, 10 tables, 1 image
Images to measurements	color_extraction_with_names-v8.py	823	no	no	no	no	descriptron-core	writes 2 figures, 1 image
Images to measurements	FHS_and_CLAHE_V21.py	1313	no	no	no	no	descriptron-core	writes 4 figures, 2 tables, 6 images
Images to measurements	landmark_gpa_V1.py	564	no	no	no	no	descriptron-core	writes 20 figures, 8 tables
Images to measurements	measurement_script_to_try_after_kpts_prediction_measure_kpts_V35.py	1696	no	yes	no	no	descriptron-vision	writes 8 figures, 1 image, 3 arrays
Images to measurements	semi_landmark_and_kpts_procrustesV34_GPA.py	1843	no	no	no	no	descriptron-core	writes 30 figures, 10 tables
Images to measurements	compile_specimen_data.py	1223	no	no	no	no	descriptron-core	writes 1 table, 1 array
Screening, policy and matrix	biorag_annotation_screen_v1.py	192	no	no	no	no	descriptron-core	writes 4 tables, 1 JSON
Screening, policy and matrix	biorag_annotation_reorient_v1.py	158	no	no	no	no	descriptron-core	writes 1 table, 1 JSON
Screening, policy and matrix	biorag_label_conflict_check_v1.py	73	no	no	no	no	descriptron-core	writes 1 table, 1 JSON
Screening, policy and matrix	biorag_specimen_id.py	64	no	no	no	no	descriptron-core	none
Screening, policy and matrix	biorag_feature_policy.py	366	no	no	no	no	descriptron-core	none
