scientific_name	base_name	sec_type	question	answer	image_path
Zapatella graham	graham	description	<image> Please provide a diagnostic description of the species.	Diagnosis.Partially resembles Callirhytis, Bassettia and Plagiotrochus.	/ocean/projects/bio220058p/vandam/insect_images/coleoptera/llama/LLaMA-VID/urls/articles/2939/19630/oo/file.jpg
Russelliana adela 	adela	description		Forewing with pale yellow veins and colourless membrane, sometimes yellowish in apical part. Forewing oblong-oval, narrowly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules faint, present in all cells, leaving narrow spinule-free stripes along the veins, sparsely and irregularly spaced; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	adela.jpg
Russelliana adelpha male	adelpha male	description		Forewing with yellow to dark brown veins and membrane with distinct pale to dark brown pattern differing in males and females. Male forewing membrane brown to dark brown consisting of large brown band occupying almost entire wing surface stretching from apical part of costal vein and covering apical part of cell r1, apical and basal part of cell r2, entire cells m1, m2 and cu1, apical part of cell cu2 and median part of cell c+sc, leaving light areas in cells r2, m1, m2 and cu1 along the margin; membrane lacking pattern, colourless to yellowish. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M longer than either of veins M1+2 and M3+4; both male and female forewing with large, very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, forming hexagons in apical part on pigmented areas, weakly developed on unpigmented areas; radular spinules not pronounced.	adelpha_male.jpg
Russelliana adelpha female	adelpha female	description		Forewing with yellow to dark brown veins and membrane with distinct pale to dark brown pattern differing in males and females. Female forewing membrane pale brown consisting of patches scattered over entire surface and dark frequently confluent dots occupying all cells, patch along the margin leaving almost indistinct light areas in cells r2, m1, m2 and cu1; with few distinct dark brown dots along the margin at the edges of the light areas in cells r2, m1, m2 and cu1. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M longer than either of veins M1+2 and M3+4; both male and female forewing with large, very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, forming hexagons in apical part on pigmented areas, weakly developed on unpigmented areas; radular spinules not pronounced.	adelpha_female.jpg
Russelliana adesmiae 	adesmiae	description		Forewing with pale yellow to brown veins and whitish membrane with conspicuous dark brown pattern consisting of constant patch along vein Cu1b and dots scattered over entire surface, partly confluent in apical part, forming broad submarginal stripe stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin; sometimes with relatively distinct median broad stripe stretching from apical part of cell r1 to base of vein Cu1b. Forewing oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; radular spinules not pronounced. 	adesmiae.jpg
Russelliana adunca 	adunca	description		Forewing with bright yellow to dark brown veins and colourless to greyish membrane with indistinct yellow to distinct brownish patch along vein Cu1b, fumose in the middle of all cells and almost transparent along the veins. Forewing oblong-oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules present in all cells, leaving broad spinule-free stripes along the veins, sparsely and irregularly spaced, sometimes spinules entirely reduced in apical half of the wing; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	adunca.jpg
Russelliana bicolorata 	bicolorata	description		Forewing with pale to bright yellow veins and pale yellow to amber-coloured membrane. Forewing oval, narrowly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight, curved backwards apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules present in all cells, leaving narrow spinule-free stripes along the veins, relatively densely and irregularly spaced; absent at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	bicolorata.jpg
Russelliana brevigenis 	brevigenis	description		Forewing with pale yellow veins and colourless membrane with indistinct brown patch along vein Cu1b and yellowish shadows in apical part of cells r1, r2, m1, m2 and cu1. Forewing oval, broadly, evenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	brevigenis.jpg
Russelliana bulbosa 	bulbosa	description		Forewing with yellow veins and amber-coloured membrane. Forewing oblong-oval, narrowly, evenly rounded apically; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight apically; vein M longer than either of veins M1+2 and M3+4; surface spinules dense, present in all cells, leaving narrow spinule-free stripes along the veins, irregularly spaced, forming transverse rows; absent in basal third of cell c+sc; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	bulbosa.jpg
Russelliana capsici 	capsici	description		Forewing with whitish to dark brown veins and membrane with brown to dark brown pattern consisting of two broad transverse stripes: submarginal one stretching from apical part of costal vein to median part of cell cu1 leaving light areas in cells r2, m1, m2 and cu1 along the margin, and median one stretching from median part of vein C+Sc to apical part of anal vein; membrane between two bands colourless, sometimes with few dark brown dots in cells and sometimes on veins. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules large, very dense, present in all cells, leaving narrow spinule-free stripes along the veins, forming hexagons, less developed on unpigmented areas; radular spinules not pronounced. 	capsici.jpg
